"Parcel.Number","Parcel Type"
"102-82-158","Residential Parcel"
"102-90-624","Residential Parcel"
"102-90-680","Residential Parcel"
"102-17-383","Residential Parcel"
"102-17-555","Residential Parcel"
"102-72-196","Residential Parcel"
"102-85-821","Residential Parcel"
"102-90-655","Residential Parcel"
"102-17-452","Residential Parcel"
"102-17-572","Residential Parcel"
"102-17-615","Residential Parcel"
"102-17-792","Residential Parcel"
"102-72-347","Residential Parcel"
"102-58-312","Residential Parcel"
"102-72-241","Residential Parcel"
"102-72-280","Residential Parcel"
"102-85-676","Residential Parcel"
"102-90-519","Residential Parcel"
"102-85-783","Residential Parcel"
"102-90-775","Rental Parcel"
"102-90-436","Residential Parcel"
"102-17-410","Residential Parcel"
"102-17-427","Residential Parcel"
"102-58-326","Residential Parcel"
"102-72-192","Residential Parcel"
"102-17-565","Residential Parcel"
"102-17-860","Residential Parcel"
"102-90-428","Residential Parcel"
"102-17-415","Residential Parcel"
"102-17-657","Residential Parcel"
"102-17-833","Residential Parcel"
"102-72-305","Rental Parcel"
"102-85-854","Residential Parcel"
"102-90-335","Residential Parcel"
"102-90-797","Residential Parcel"
"102-58-318","Rental Parcel"
"102-58-319","Residential Parcel"
"102-72-293","Residential Parcel"
"102-72-296","Residential Parcel"
"102-82-109","Residential Parcel"
"102-90-527","Residential Parcel"
"102-17-314","Rental Parcel"
"102-17-552","Residential Parcel"
"102-82-168","Residential Parcel"
"102-85-712","Residential Parcel"
"102-17-617","Residential Parcel"
"102-17-867","Residential Parcel"
"102-72-190","Residential Parcel"
"102-72-336","Rental Parcel"
"102-82-149","Residential Parcel"
"102-85-649","Residential Parcel"
"102-90-224","Residential Parcel"
"102-90-550","Residential Parcel"
"102-85-642","Residential Parcel"
"102-85-657","Residential Parcel"
"102-58-352","Residential Parcel"
"102-58-132","Residential Parcel"
"102-82-154","Residential Parcel"
"102-85-775","Residential Parcel"
"102-85-789","Residential Parcel"
"102-90-415","Rental Parcel"
"102-90-511","Rental Parcel"
"102-17-398","Residential Parcel"
"102-82-145","Rental Parcel"
"102-90-462","Rental Parcel"
"102-90-501","Rental Parcel"
"102-90-596","Rental Parcel"
"102-90-656","Residential Parcel"
"102-18-877B","Land Parcel"
"102-22-844","Residential Parcel"
"102-17-562","Residential Parcel"
"102-85-816","Residential Parcel"
"102-72-341","Rental Parcel"
"102-72-364","Residential Parcel"
"102-18-826","Residential Parcel"
"102-17-430","Residential Parcel"
"102-58-075","Residential Parcel"
"102-90-794","Residential Parcel"
"102-17-437","Residential Parcel"
"102-85-779","Residential Parcel"
"102-85-844","Residential Parcel"
"102-90-686","Residential Parcel"
"102-58-325","Residential Parcel"
"102-72-282","Residential Parcel"
"102-72-382","Residential Parcel"
"102-82-299","Residential Parcel"
"102-90-433","Residential Parcel"
"102-90-800","Rental Parcel"
"102-58-152","Residential Parcel"
"102-85-806","Residential Parcel"
"102-90-541","Residential Parcel"
"102-18-833","Residential Parcel"
"102-17-253","Residential Parcel"
"102-17-392","Residential Parcel"
"102-58-139","Residential Parcel"
"102-58-300","Residential Parcel"
"102-72-249","Residential Parcel"
